E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.649334D+00     0.160868D+01
    2         2         1       0.930978D+00     0.485400D+00
    3         3         1       0.112573D+01     0.329042D+00
    4         4         1       0.124483D+01     0.129017D+00

    5         1         2       0.765903D+00     0.179177D+01
    6         2         2       0.104314D+01     0.444848D+00
    7         3         2       0.120038D+01     0.261640D+00
    8         4         2       0.128385D+01     0.997016D-01

    9         1         3       0.765903D+00     0.179177D+01
   10         2         3       0.104314D+01     0.444848D+00
   11         3         3       0.120038D+01     0.261640D+00
   12         4         3       0.128385D+01     0.997016D-01

   13         1         4       0.649334D+00     0.160868D+01
   14         2         4       0.930978D+00     0.485400D+00
   15         3         4       0.112573D+01     0.329042D+00
   16         4         4       0.124483D+01     0.129017D+00

T I M E   S T E P   N U M B E R  ( it ):    9

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.646740208358D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.624703070153D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.167388683157D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.652058D+00     0.161643D+01
    2         2         1       0.936551D+00     0.488761D+00
    3         3         1       0.113493D+01     0.331590D+00
    4         4         1       0.125859D+01     0.129469D+00

    5         1         2       0.769094D+00     0.179933D+01
    6         2         2       0.104890D+01     0.446859D+00
    7         3         2       0.120926D+01     0.262590D+00
    8         4         2       0.129671D+01     0.988904D-01

    9         1         3       0.769094D+00     0.179933D+01
   10         2         3       0.104890D+01     0.446859D+00
   11         3         3       0.120926D+01     0.262590D+00
   12         4         3       0.129671D+01     0.988904D-01

   13         1         4       0.652058D+00     0.161643D+01
   14         2         4       0.936551D+00     0.488761D+00
   15         3         4       0.113493D+01     0.331590D+00
   16         4         4       0.125859D+01     0.129469D+00

T I M E   S T E P   N U M B E R  ( it ):   10

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.649073180191D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.626956547899D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.167992500699D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.654143D+00     0.162239D+01
    2         2         1       0.940769D+00     0.491337D+00
    3         3         1       0.114181D+01     0.333560D+00
    4         4         1       0.126876D+01     0.129924D+00

    5         1         2       0.771530D+00     0.180515D+01
    6         2         2       0.105324D+01     0.448428D+00
    7         3         2       0.121589D+01     0.263382D+00
    8         4         2       0.130621D+01     0.984156D-01

    9         1         3       0.771530D+00     0.180515D+01
   10         2         3       0.105324D+01     0.448428D+00
   11         3         3       0.121589D+01     0.263382D+00
   12         4         3       0.130621D+01     0.984156D-01

   13         1         4       0.654143D+00     0.162239D+01
   14         2         4       0.940769D+00     0.491337D+00
   15         3         4       0.114181D+01     0.333560D+00
   16         4         4       0.126876D+01     0.129924D+00

T I M E   S T E P   N U M B E R  ( it ):   11

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.650912023476D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.628732734118D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.168468428362D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.655756D+00     0.162702D+01
    2         2         1       0.943998D+00     0.493332D+00
    3         3         1       0.114702D+01     0.335095D+00
    4         4         1       0.127637D+01     0.130339D+00

    5         1         2       0.773412D+00     0.180967D+01
    6         2         2       0.105657D+01     0.449663D+00
    7         3         2       0.122091D+01     0.264036D+00
    8         4         2       0.131331D+01     0.981411D-01

    9         1         3       0.773412D+00     0.180967D+01
   10         2         3       0.105657D+01     0.449663D+00
   11         3         3       0.122091D+01     0.264036D+00
   12         4         3       0.131331D+01     0.981411D-01

   13         1         4       0.655756D+00     0.162702D+01
   14         2         4       0.943998D+00     0.493332D+00
   15         3         4       0.114702D+01     0.335095D+00
   16         4         4       0.127637D+01     0.130339D+00

T I M E   S T E P   N U M B E R  ( it ):   12

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.652370894043D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.630141894876D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.168846011849D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.657017D+00     0.163065D+01
    2         2         1       0.946496D+00     0.494891D+00
    3         3         1       0.115101D+01     0.336299D+00
    4         4         1       0.128213D+01     0.130700D+00

    5         1         2       0.774880D+00     0.181322D+01
    6         2         2       0.105914D+01     0.450644D+00
    7         3         2       0.122475D+01     0.264575D+00
    8         4         2       0.131868D+01     0.979866D-01

    9         1         3       0.774880D+00     0.181322D+01
   10         2         3       0.105914D+01     0.450644D+00
   11         3         3       0.122475D+01     0.264575D+00
   12         4         3       0.131868D+01     0.979866D-01

   13         1         4       0.657017D+00     0.163065D+01
   14         2         4       0.946496D+00     0.494891D+00
   15         3         4       0.115101D+01     0.336299D+00
   16         4         4       0.128213D+01     0.130700D+00

T I M E   S T E P   N U M B E R  ( it ):   13

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.653536990382D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.631268257445D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.169147819790D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.658014D+00     0.163353D+01
    2         2         1       0.948451D+00     0.496122D+00
    3         3         1       0.115410D+01     0.337251D+00
    4         4         1       0.128655D+01     0.131007D+00

    5         1         2       0.776037D+00     0.181603D+01
    6         2         2       0.106115D+01     0.451428D+00
    7         3         2       0.122772D+01     0.265020D+00
    8         4         2       0.132280D+01     0.979047D-01

    9         1         3       0.776037D+00     0.181603D+01
   10         2         3       0.106115D+01     0.451428D+00
   11         3         3       0.122772D+01     0.265020D+00
   12         4         3       0.132280D+01     0.979047D-01

   13         1         4       0.658014D+00     0.163353D+01
   14         2         4       0.948451D+00     0.496122D+00
   15         3         4       0.115410D+01     0.337251D+00
   16         4         4       0.128655D+01     0.131007D+00

T I M E   S T E P   N U M B E R  ( it ):   14

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.654476711760D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.632175958593D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.169391037579D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.658808D+00     0.163583D+01
    2         2         1       0.949995D+00     0.497103D+00
    3         3         1       0.115652D+01     0.338012D+00
    4         4         1       0.128998D+01     0.131265D+00

    5         1         2       0.776960D+00     0.181829D+01
    6         2         2       0.106273D+01     0.452062D+00
    7         3         2       0.123005D+01     0.265388D+00
    8         4         2       0.132599D+01     0.978671D-01

    9         1         3       0.776960D+00     0.181829D+01
   10         2         3       0.106273D+01     0.452062D+00
   11         3         3       0.123005D+01     0.265388D+00
   12         4         3       0.132599D+01     0.978671D-01

   13         1         4       0.658808D+00     0.163583D+01
   14         2         4       0.949995D+00     0.497103D+00
   15         3         4       0.115652D+01     0.338012D+00
   16         4         4       0.128998D+01     0.131265D+00

T I M E   S T E P   N U M B E R  ( it ):   15

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.655241036373D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.632914239477D+00
